method,obs,a_mean,a_q05,a_q95,a_true,a_in_CI,b_mean,b_q05,b_q95,b_true,b_in_CI,E1_mean,E1_q05,E1_q95,E2_mean,E2_q05,E2_q95
cnf,16,300.731,300.133,301.366,300,False,24.9372,24.4542,25.4154,26.3441,False,0.649679,0.513801,0.855712,0.577855,0.503115,0.751163
cnf,17,304.531,303.899,305.174,303.75,False,24.3723,23.8735,24.8581,24.6598,True,0.659244,0.514421,0.860644,0.566083,0.501503,0.729397
cnf,18,297.284,296.698,297.919,296.1,False,27.3079,26.8853,27.7709,27.6121,True,0.667058,0.547018,0.834173,0.531577,0.500885,0.59617
cnf,19,292.484,291.875,293.093,291.9,True,26.3497,25.9046,26.7926,26.8497,False,0.663269,0.516893,0.85445,0.559756,0.504772,0.700741
cnf,20,300.657,300.1,301.286,299.7,False,24.9684,24.523,25.4441,25.1586,True,0.642401,0.514969,0.827093,0.539388,0.501288,0.625115
cnf,21,303.108,302.476,303.784,303.5,True,25.3116,24.853,25.7603,25.398,True,0.642747,0.509046,0.846732,0.558024,0.500414,0.708477
cnf,22,292.611,292.066,293.247,292,False,25.5814,25.1803,25.9958,25.9946,True,0.610078,0.50583,0.77436,0.533454,0.499757,0.604786
cnf,23,302.236,301.639,302.851,302.6,True,24.6614,24.1589,25.1686,24.984,True,0.622945,0.510021,0.82063,0.575287,0.50372,0.739271
cnf,24,305.071,304.452,305.723,304.2,False,24.0174,23.5926,24.4729,24.3809,True,0.639279,0.5152,0.846611,0.556273,0.498638,0.69434
cnf,25,300.999,300.424,301.609,300.7,True,26.8257,26.3862,27.2825,26.8959,True,0.62438,0.515439,0.803383,0.535674,0.499117,0.625095
cnf,26,295.075,294.634,295.57,293.5,False,29.7366,29.3178,30.1642,29.5839,True,0.679833,0.580252,0.768399,0.512929,0.477399,0.550419
cnf,27,301.237,300.68,301.879,300.05,False,26.1347,25.6839,26.5572,26.7256,False,0.630451,0.516277,0.807112,0.536089,0.499766,0.642417
