method,obs,a_mean,a_q05,a_q95,a_true,a_in_CI,b_mean,b_q05,b_q95,b_true,b_in_CI,E1_mean,E1_q05,E1_q95,E2_mean,E2_q05,E2_q95
cfm,13,310.774,310.152,311.341,307.75,False,24.9488,24.4702,25.4438,26.5363,False,0.707625,0.53341,0.876058,0.603196,0.503929,0.791323
cfm,14,299.189,298.59,299.772,297.5,False,23.9369,23.5084,24.3863,25.6494,False,0.710467,0.534329,0.877484,0.586421,0.508804,0.73886
cfm,15,299.526,298.897,300.175,297.6,False,25.1111,24.6592,25.5663,24.9299,True,0.641578,0.512404,0.834214,0.540018,0.488964,0.641611
cfm,16,300.958,300.316,301.611,300,False,24.9178,24.4842,25.3721,26.3441,False,0.653804,0.518223,0.838955,0.582007,0.502971,0.737877
cfm,17,304.653,304.008,305.312,303.75,False,24.345,23.8793,24.7931,24.6598,True,0.662604,0.517785,0.859532,0.575612,0.504357,0.724328
cfm,18,297.508,296.878,298.169,296.1,False,27.2674,26.8207,27.6641,27.6121,True,0.632299,0.508636,0.833207,0.522831,0.480886,0.606082
cfm,19,292.819,292.152,293.518,291.9,False,26.3601,25.9529,26.7882,26.8497,False,0.649357,0.510555,0.853824,0.546913,0.49419,0.651849
cfm,20,300.844,300.202,301.495,299.7,False,24.9538,24.5428,25.4076,25.1586,True,0.627832,0.509487,0.820496,0.537403,0.487293,0.645196
cfm,21,303.292,302.655,303.945,303.5,True,25.2651,24.8254,25.7661,25.398,True,0.642006,0.509438,0.848629,0.568337,0.499672,0.712541
cfm,22,293.031,292.39,293.762,292,False,25.5599,25.1717,25.9907,25.9946,False,0.594981,0.503294,0.772404,0.512256,0.474762,0.573901
cfm,23,302.449,301.832,303.086,302.6,True,24.632,24.1995,25.0392,24.984,True,0.627399,0.509739,0.813916,0.583013,0.502173,0.741161
cfm,24,305.189,304.515,305.876,304.2,False,23.9849,23.5225,24.4612,24.3809,True,0.637121,0.510704,0.827958,0.563972,0.498487,0.707936
cfm,25,301.202,300.615,301.882,300.7,True,26.7861,26.3527,27.1974,26.8959,True,0.61529,0.505357,0.801149,0.53662,0.485514,0.647906
cfm,26,295.341,294.733,296.083,293.5,False,29.6531,29.2734,30.0416,29.5839,True,0.597275,0.50139,0.779274,0.481123,0.446592,0.540646
cfm,27,301.459,300.869,302.128,300.05,False,26.1051,25.6965,26.5119,26.7256,False,0.619079,0.50992,0.805613,0.532824,0.485708,0.635621
cfm,28,303.699,303.048,304.378,301.9,False,22.1335,21.6819,22.6357,22.9351,False,0.654674,0.518842,0.845236,0.554747,0.498495,0.65095
cfm,29,302.936,302.274,303.651,302.7,True,21.7913,21.2949,22.2913,21.9861,True,0.649482,0.518375,0.833255,0.573058,0.501411,0.713291
