obs_id,a,b,E1,E2
0,303.636230,23.724234,0.620612,0.519268
0,304.717377,23.100346,0.779444,0.536892
0,304.706604,23.225525,0.791669,0.550280
0,303.948944,23.482601,0.600975,0.613520
0,304.509064,23.499731,0.760307,0.553619
0,303.966980,23.324539,0.639025,0.506309
0,304.317810,23.449442,0.577075,0.517911
0,304.193115,23.570255,0.613405,0.540170
0,304.368225,23.811966,0.827888,0.562836
0,304.223969,23.366343,0.744477,0.524603
0,304.038422,22.872108,0.549042,0.503991
0,304.127167,23.423557,0.661362,0.571258
0,303.453766,23.814396,0.551505,0.549048
0,304.426697,23.468849,0.775562,0.664845
0,304.629333,23.629457,0.863645,0.547487
0,304.124878,23.196732,0.540562,0.726608
0,304.269104,23.309219,0.680849,0.544438
0,303.783783,24.024218,0.688225,0.569873
0,303.922089,22.908735,0.515861,0.619587
0,304.240173,23.434868,0.695719,0.528421
0,304.099091,23.425869,0.585435,0.521352
0,303.500305,23.795731,0.648476,0.547207
0,303.568298,23.921656,0.639212,0.624327
0,303.717529,23.298315,0.539344,0.503035
0,304.530762,23.163187,0.639856,0.625894
0,304.482666,23.195963,0.674263,0.513137
0,303.999573,23.415833,0.621283,0.541260
0,303.481384,23.670179,0.497840,0.579072
0,304.914978,23.094429,0.878150,0.834337
0,304.156830,23.654182,0.665402,0.506651
0,304.049683,23.562689,0.655323,0.503317
0,304.150879,23.442278,0.582510,0.589470
0,303.789551,23.750185,0.707730,0.528916
0,303.840149,22.935392,0.500089,0.668016
0,303.722412,23.429436,0.524967,0.524838
0,304.083130,23.296188,0.545000,0.594804
0,304.547424,23.334415,0.724130,0.542881
0,304.281219,23.276318,0.569755,0.620468
0,303.143311,24.010790,0.532952,0.518338
0,303.663361,23.564514,0.510179,0.759306
0,303.949677,24.046896,0.835063,0.525048
0,303.910675,23.679331,0.638341,0.526126
0,304.216888,23.456619,0.651731,0.514223
0,303.858521,23.049746,0.508766,0.614250
0,304.085724,22.982862,0.511896,0.515442
0,304.741211,23.307331,0.858411,0.590157
0,304.253113,22.947386,0.555692,0.813063
0,303.505981,23.596846,0.513678,0.532327
0,304.168976,23.675594,0.665434,0.584655
0,304.389282,23.332485,0.855166,0.545420
0,303.235046,23.451361,0.499591,0.548744
0,303.603943,24.013584,0.637869,0.580747
0,303.440369,23.757977,0.515633,0.528713
0,303.766571,23.290617,0.521666,0.592653
0,303.925110,23.466249,0.550612,0.650778
0,304.364807,23.679720,0.864080,0.550249
0,303.356537,24.126551,0.557261,0.593566
0,303.836792,23.869720,0.709306,0.507646
0,303.884003,23.515898,0.663284,0.510738
0,304.080353,23.723448,0.728628,0.572135
0,304.217224,22.864586,0.501605,0.781823
0,304.312714,23.716824,0.637945,0.694127
0,303.488617,23.520720,0.528959,0.493456
0,303.937805,23.586308,0.595208,0.521182
0,304.434998,23.207912,0.621771,0.651478
0,304.385864,23.684212,0.839318,0.602900
0,303.708893,23.474382,0.527180,0.495295
0,304.246490,23.504017,0.688024,0.525764
0,303.859924,23.745670,0.652280,0.592597
0,303.867340,23.641060,0.683593,0.518120
0,304.039124,23.213377,0.653150,0.519758
0,304.343079,23.503931,0.613776,0.676900
0,304.698395,23.464893,0.883377,0.512575
0,304.192780,23.157854,0.582404,0.607535
0,303.832001,23.797998,0.639242,0.515107
0,303.698212,23.304270,0.555384,0.628801
0,303.127869,23.781681,0.518414,0.544729
0,304.593689,22.941833,0.699681,0.689174
0,305.155090,22.938965,0.893000,0.616640
0,304.686523,23.337507,0.862091,0.634609
0,303.907532,23.418877,0.605469,0.530211
0,303.958313,23.377089,0.699873,0.542936
0,303.790863,23.212561,0.532501,0.504528
0,303.785095,23.889814,0.614527,0.581224
0,303.976959,23.504471,0.663106,0.651653
0,303.090363,23.521410,0.500206,0.494393
0,303.659302,23.408466,0.537653,0.510299
0,304.612671,23.078255,0.682120,0.497155
0,303.266693,23.766502,0.524736,0.497637
0,303.510864,23.570389,0.550755,0.605584
0,303.633240,23.968769,0.625803,0.511296
0,304.155304,23.368250,0.616800,0.681737
0,303.539795,23.834187,0.660479,0.562566
0,304.707642,23.080933,0.725369,0.636585
0,304.129272,23.501554,0.743413,0.529377
0,303.422760,24.005079,0.559475,0.510330
0,305.061462,23.133398,0.878071,0.746809
0,303.723602,23.454020,0.595455,0.752689
0,304.686279,23.141945,0.662045,0.628793
0,303.819489,23.559782,0.615343,0.529578
0,304.090546,23.144707,0.605869,0.630064
0,304.052246,22.856720,0.524096,0.556566
0,303.639282,23.093716,0.502464,0.554640
0,304.442139,23.481743,0.809193,0.527341
0,304.311432,23.452488,0.784559,0.547168
0,303.951660,22.911280,0.533910,0.501903
0,303.308136,23.533684,0.519560,0.511601
0,304.607483,23.432581,0.870744,0.524414
0,304.325745,23.010424,0.582728,0.749947
0,304.110504,23.411070,0.672143,0.511133
0,303.645233,23.389284,0.533232,0.557746
0,304.528839,23.610073,0.786630,0.620563
0,304.046753,23.794115,0.724860,0.512996
0,305.056213,23.074360,0.838094,0.553945
0,303.503815,23.597771,0.534809,0.529292
0,303.854279,23.474251,0.629119,0.533587
0,304.158875,23.437334,0.608666,0.628532
0,303.652100,23.558609,0.505059,0.535956
0,304.116364,23.727325,0.710689,0.520804
0,304.529755,23.244862,0.771830,0.522766
0,304.062805,23.680462,0.858363,0.513801
0,304.052460,23.435602,0.614009,0.525036
0,303.650818,23.867449,0.664513,0.520590
0,305.029877,23.253162,0.853436,0.500976
0,303.927826,23.950451,0.681459,0.510693
0,304.070404,23.243862,0.597792,0.553563
0,303.907013,23.600374,0.732576,0.553288
0,304.298096,23.373102,0.685644,0.513087
0,303.545197,23.166962,0.526647,0.507895
0,304.106323,23.832476,0.886426,0.658647
0,304.774811,23.153616,0.858934,0.518652
0,304.011932,23.377609,0.529643,0.508326
0,304.774902,23.237627,0.829114,0.524734
0,303.969177,23.604301,0.673430,0.514626
0,303.944946,23.181278,0.567237,0.544482
0,304.587250,23.267225,0.686677,0.519210
0,304.587982,23.325413,0.713147,0.532838
0,304.222839,23.749649,0.735492,0.519103
0,304.415588,23.667755,0.881882,0.490490
0,304.474304,23.064089,0.606745,0.536900
0,303.853821,23.769058,0.708035,0.517964
0,304.830231,23.029001,0.724473,0.524241
0,304.387024,23.744312,0.873310,0.739591
0,304.201630,23.845589,0.877468,0.567774
0,304.128571,23.630093,0.746893,0.556895
0,303.975067,23.830873,0.676075,0.521277
0,304.347992,23.587791,0.725054,0.599737
0,303.322021,23.664143,0.526819,0.675124
0,304.018250,23.632341,0.629768,0.543273
0,303.996307,22.940742,0.527683,0.568160
0,304.426971,23.414299,0.780872,0.684452
0,303.604919,23.769531,0.603278,0.511425
0,303.996735,23.200962,0.516928,0.526591
0,303.855438,23.716125,0.633005,0.534203
0,303.432587,24.042679,0.628349,0.513049
0,304.016815,23.732084,0.693244,0.513416
0,303.616211,23.310888,0.564790,0.502844
0,303.998169,23.688913,0.709828,0.529209
0,303.496613,23.478434,0.509338,0.640094
0,303.934143,23.608273,0.650751,0.521836
0,304.438690,23.252363,0.691906,0.516230
0,305.274597,22.809025,0.807401,0.689232
0,304.453949,23.077684,0.646803,0.540919
0,304.302307,23.862179,0.844012,0.525876
0,303.638367,23.746260,0.572509,0.664990
0,303.847656,23.601254,0.648522,0.537349
0,303.777222,23.491577,0.553335,0.515909
0,304.429779,22.901144,0.611288,0.626933
0,303.853119,23.685593,0.591730,0.566611
0,304.324097,23.268604,0.611384,0.577522
0,304.407104,23.224558,0.654390,0.515858
0,304.146698,23.700949,0.653936,0.572429
0,303.785767,23.696535,0.618582,0.610738
0,303.823517,23.675690,0.654204,0.517330
0,303.644043,23.473824,0.509656,0.515142
0,304.475739,23.226471,0.670861,0.594720
0,304.755829,23.187235,0.823415,0.581569
0,303.712891,23.550068,0.542444,0.650600
0,303.940765,23.442547,0.588948,0.576540
0,304.032745,23.572796,0.748970,0.540516
0,303.950012,23.487261,0.628668,0.509380
0,303.974762,23.156221,0.543707,0.506742
0,304.442108,23.535002,0.788203,0.513444
0,303.691498,23.599712,0.660967,0.517126
0,304.536011,23.019796,0.653730,0.549021
0,304.227844,23.187099,0.644082,0.531252
0,304.542053,23.625496,0.886920,0.541195
0,304.205566,23.572943,0.695278,0.518414
0,303.283234,23.679134,0.554482,0.578693
0,303.856262,23.341604,0.566510,0.582199
0,304.092072,23.419697,0.591125,0.509519
0,303.737915,23.543028,0.549903,0.558311
0,304.313293,23.807686,0.876916,0.542979
0,304.018402,23.402426,0.575145,0.507883
0,303.522644,23.827734,0.574863,0.529260
0,303.805634,23.113731,0.533219,0.521562
0,303.551239,24.226542,0.677364,0.546758
0,303.091858,23.628191,0.509125,0.535954
0,303.974335,23.987787,0.723511,0.509854
0,303.617950,23.567192,0.574566,0.511139
0,303.716156,23.550804,0.612161,0.520157
0,304.173492,23.756779,0.792038,0.513181
0,304.222717,23.268162,0.656484,0.585696
0,304.620117,23.301163,0.811139,0.587781
0,304.055328,23.774147,0.848854,0.517794
0,304.080902,23.629089,0.860868,0.521750
0,304.014191,23.527292,0.563246,0.564907
0,303.869019,23.443855,0.694891,0.512396
0,304.364441,22.948271,0.600530,0.710904
0,303.820770,23.687742,0.612043,0.503124
0,303.757233,23.963215,0.658750,0.616357
0,303.763336,23.975931,0.711395,0.532492
0,302.939941,24.071289,0.541939,0.510993
0,303.718628,23.431486,0.508655,0.765298
0,303.730621,23.732805,0.594763,0.570808
0,304.001953,23.659462,0.616379,0.573020
0,303.990662,23.244116,0.589190,0.522316
0,304.040070,23.462263,0.604385,0.521867
0,304.473389,22.971497,0.672245,0.604118
0,304.434906,23.374048,0.773427,0.500914
0,304.421295,23.555405,0.855318,0.552388
0,304.412872,23.153324,0.670121,0.603871
0,304.232025,23.400585,0.734972,0.551523
0,303.982452,23.972534,0.713910,0.655469
0,304.393036,23.650139,0.908803,0.494154
0,303.874939,23.707220,0.609170,0.617554
0,303.913971,23.566107,0.719047,0.496140
0,303.595428,23.714926,0.542906,0.516501
0,303.976318,23.354252,0.539369,0.533670
0,304.748474,23.192904,0.732878,0.559612
0,303.868591,23.607920,0.570183,0.511613
0,304.396149,22.845999,0.539021,0.640750
0,303.661285,23.788689,0.571745,0.586005
0,304.500885,23.377783,0.692171,0.529927
0,303.944061,23.614985,0.646242,0.579174
0,304.334473,23.794851,0.860198,0.537220
0,304.169403,23.153164,0.571694,0.544876
0,303.977966,23.555183,0.587539,0.496823
0,303.833893,23.725700,0.662595,0.597034
0,304.270538,23.637829,0.698516,0.514238
0,304.325409,23.084612,0.678698,0.653356
0,304.153961,23.436081,0.642120,0.699660
0,303.875183,23.270096,0.567727,0.558271
0,304.394775,22.850351,0.520123,0.640896
0,303.853668,23.460152,0.592738,0.528164
0,304.441986,23.699659,0.741297,0.576998
0,303.592499,23.613918,0.589105,0.489983
0,303.851379,23.750721,0.742436,0.511066
0,303.423737,23.551973,0.535422,0.501370
0,304.716827,23.244198,0.799153,0.553842
0,304.126282,23.535172,0.617255,0.509815
0,304.339691,23.680573,0.856815,0.528255
0,304.364197,23.573330,0.740489,0.505995
0,303.417542,23.581799,0.553985,0.491937
0,304.067535,24.164703,0.872583,0.519510
0,304.442230,23.038618,0.587763,0.704082
0,304.056519,23.436592,0.555766,0.723330
0,304.498505,22.886391,0.690219,0.693903
0,303.790680,23.321354,0.562797,0.507170
0,303.671967,23.593216,0.621741,0.527356
0,303.306610,23.695738,0.553678,0.515096
0,303.918701,23.803812,0.708318,0.517373
0,304.349304,23.493557,0.705130,0.503536
0,303.510590,23.429359,0.493500,0.556190
0,304.086151,23.405237,0.595111,0.752072
0,304.513489,23.224430,0.780936,0.543355
0,303.830872,23.209188,0.571999,0.545255
0,304.100586,23.883102,0.845075,0.497215
0,304.304504,23.421125,0.795350,0.540081
0,304.272827,23.275127,0.728904,0.507108
0,303.283478,23.601818,0.504813,0.594297
0,304.433167,22.854771,0.589261,0.585439
0,304.617828,23.173258,0.817459,0.659797
0,305.081665,22.949060,0.872291,0.593201
0,303.723724,23.193783,0.552527,0.497951
0,303.776398,23.260056,0.568006,0.549265
0,303.831390,23.504543,0.603715,0.511929
0,304.929443,23.004982,0.680371,0.574197
0,304.797974,23.168924,0.868805,0.515335
0,303.908020,23.170145,0.546623,0.703730
0,303.695160,23.772270,0.579033,0.578728
0,303.724731,23.413647,0.606738,0.502351
0,304.189667,23.371761,0.579887,0.556629
0,303.817535,23.642157,0.613418,0.545589
0,304.215393,22.854834,0.508524,0.558695
0,304.145447,23.794785,0.853425,0.508699
0,304.105164,23.511343,0.604901,0.606264
0,304.008667,23.505371,0.694043,0.504736
0,303.984314,24.053951,0.804591,0.521748
0,303.950836,23.546225,0.601112,0.740802
0,303.711182,23.496866,0.524486,0.576466
0,304.244995,23.169046,0.589550,0.527370
0,303.723816,23.514421,0.622482,0.509680
0,303.804657,23.802340,0.631336,0.502730
0,303.324402,24.034243,0.546319,0.530875
0,304.144440,23.043665,0.517681,0.708535
0,304.831238,23.229031,0.817897,0.538612
0,303.531342,23.862564,0.601557,0.579287
0,304.199799,22.961132,0.625302,0.563434
0,304.284119,23.162300,0.564487,0.657372
0,303.638763,23.385921,0.523274,0.529273
0,303.440582,24.100183,0.634936,0.511616
